Code,Name,ListingDate,DelistingDate,Source
033270,유나이티드제약,2007-10-23,,KOSPI-DESC
033530,SJG세종,2002-09-25,,KOSPI-DESC
033780,KT&G,1999-10-08,,KOSPI-DESC
033920,무학,2010-07-20,,KOSPI-DESC
034020,두산에너빌리티,2000-10-25,,KOSPI-DESC
034120,SBS,2003-06-25,,KOSPI-DESC
034220,LG디스플레이,2004-07-23,,KOSPI-DESC
034230,파라다이스,2024-06-24,,KOSPI-DESC
034300,신세계건설,2002-06-17,2025-02-24,KRX-DELISTING
034310,NICE,2004-02-04,,KOSPI-DESC
034590,인천도시가스,2006-11-07,,KOSPI-DESC
034730,SK,2009-11-11,,KOSPI-DESC
034830,한국토지신탁,2016-07-11,,KOSPI-DESC
035000,HS애드,1999-08-11,,KOSPI-DESC
035150,백산,1999-08-11,,KOSPI-DESC
035250,강원랜드,2003-09-04,,KOSPI-DESC
035420,NAVER,2008-11-28,,KOSPI-DESC
035510,신세계 I&C,2006-05-18,,KOSPI-DESC
035720,카카오,2017-07-10,,KOSPI-DESC
036420,콘텐트리중앙,2019-10-18,,KOSPI-DESC
036460,한국가스공사,1999-12-15,,KOSPI-DESC
036530,SNT홀딩스,2002-10-22,,KOSPI-DESC
036570,NC,2003-05-22,,KOSPI-DESC
036580,팜스코,1999-10-25,,KOSPI-DESC
